permutation_i,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
42,7708,7529,7358,7088,6630,5951,5327,5047,5052,5491,6232,6708,6722,6501,6008,5237,4403,3758,4244,5055,5957,6537,6724,6729,6642
43,7958,7528,6890,6065,5199,4841,5195,5923,6404,6736,6932,7129,7236,7095,6332,5183,4229,4171,4891,5659,6137,6430,6528,6415,5923
44,7655,7386,7154,6901,6678,6348,5711,5168,4936,5110,5478,5863,6007,6064,6003,5892,5555,4977,4527,4526,4885,5428,5790,5968,6001
45,7138,7131,6991,6725,6425,6343,6448,6562,6638,6631,6511,6238,5835,5580,5463,5405,5499,5613,5825,5804,5604,5176,4464,4001,4397
46,6787,7105,7279,7370,7306,7231,7129,7053,7052,6996,6891,6778,6171,5325,5154,5466,5889,6060,5922,5514,5185,5049,5418,5991,6414
47,6314,5909,5897,5940,6023,6058,6032,5730,5412,5138,5153,5248,5148,4859,4658,4556,4623,4810,4966,5151,5185,5235,5267,5276,5155
48,6986,6852,6682,6320,5911,5788,5624,5498,5653,5949,6242,6317,6078,5611,4981,4189,3245,2873,3622,4732,5503,5877,5784,5459,4982
49,7805,7578,7256,6806,6404,6088,6004,6104,6276,6486,6567,6544,6457,6236,5775,4639,3718,3503,3654,4329,5214,6008,6604,6765,6750
50,6489,6298,6483,6732,7048,7269,7403,7328,7104,6853,6677,6057,5044,4432,4399,4642,4805,4831,4882,5048,5351,5846,6022,6058,5942
51,6877,6569,6295,6085,6128,6281,6384,6327,6259,6114,6189,6372,6405,6267,5923,5537,5039,4494,4227,4514,5537,6210,6502,6546,6483
52,6711,6614,6714,6902,6993,6786,6239,5312,4780,4475,4290,4648,5143,5525,5661,5791,5603,5230,4880,4870,4886,4752,4527,4586,5167
53,6052,6199,6315,6470,6818,6805,6648,5996,5483,4889,4540,4584,4727,5126,5278,4992,4747,4302,4313,4860,5493,6072,6368,6287,5823
54,6195,6720,7169,7359,7352,7179,6767,6206,5595,5089,5054,5553,6112,6516,6827,7087,7116,6848,6506,6330,6259,6135,5940,5808,5782
55,7051,7236,7427,7471,7346,7137,6878,6603,6274,5940,5487,4944,4492,4218,4420,4899,5560,5975,6042,5991,5869,5940,6079,6044,5877
56,4932,5495,6544,7340,7752,7862,7954,7909,7767,7375,6721,5677,4441,3442,3233,3576,4109,4422,4595,4569,4767,4958,5131,5201,5289
57,7120,7130,7218,7196,6988,6547,5881,5641,5889,6429,6785,6803,6444,6073,5910,5770,5238,4596,4669,5166,5664,5580,5134,4854,4965
58,6779,6527,6529,6713,7012,7268,7365,7227,6957,6436,5945,5551,5172,4920,4610,4473,4216,4173,4260,4226,4229,4294,4390,4202,3912
59,6533,6697,6874,7075,7123,7094,6902,6660,6317,5993,5812,5636,5325,4894,4536,4566,5160,6070,6737,6961,6917,6500,6093,5884,5591
60,6674,6396,6239,6188,6186,5913,5639,5485,5340,5137,4649,4260,3922,3962,4424,4939,5175,5234,5132,5085,5182,5045,4710,4388,4118
61,7432,7314,7210,7105,7000,6902,6806,6466,6197,5809,5505,5509,5680,6204,6639,6654,6403,6083,5947,6072,6356,6761,6952,7017,6862
62,7261,7098,6872,6747,6669,6677,6537,6305,6283,6420,6672,6954,6885,6666,6284,5782,5101,4519,4454,5104,5944,6798,7245,7366,7290
63,7042,6617,6022,5849,6110,6623,6844,6735,6273,5495,4940,4851,4560,4155,4216,4928,5549,5567,5143,4462,4259,4410,4709,4990,5175
64,7165,7312,7375,7333,7171,6648,5522,4413,4157,4637,5653,6279,6442,6431,6340,6195,5854,5529,5040,4318,3719,3871,4645,5568,5943
65,7105,6924,6933,7064,7000,6872,6826,6843,6767,6437,5883,5563,5510,5572,5850,6388,6974,7586,7889,8054,8102,8050,7904,7580,6722
